gene_id,gene_name,4h_1,4h_2,4h_3,Control_1,Control_2,Control_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000180891,CUEDC1,488,333,293,197,247,279,320.14176349129923,6.619531066257784e-4,0.006983316155237298,5.651114363127398e-5,0.4326210600692179,NS
ENSG00000251369,ZNF550,0,0,0,27,86,21,17.124275111618388,-1.1778563277594697e-4,0.006985194999735188,2.8370347868242138e-5,0.4326210600692179,NS
ENSG00000129744,ART1,11,29,18,0,0,0,12.539462620899101,1.0167362955306386e-4,0.0069852036610414826,8.637401820418723e-5,0.44082419757477026,NS
ENSG00000181847,TIGIT,0,0,0,37,18,45,13.85169941167185,-1.0258376649611707e-4,0.006985200125180822,1.3191437011851433e-4,0.5049352302211432,NS
ENSG00000088926,F11,26,19,9,0,0,0,10.828422369304995,9.209129693660735e-5,0.006985206923806135,2.3019240464705417e-4,0.6280035597158811,NS
ENSG00000138669,PRKG2,17,40,20,1,1,2,17.169333319249308,1.3291504922540215e-4,0.006985157588859085,2.4609897186958957e-4,0.6280035597158811,NS
ENSG00000184897,H1-10,17,11,23,0,0,0,10.21900896632269,8.889306210861083e-5,0.006985207972480249,3.208747049233558e-4,0.6688884774829138,NS
ENSG00000203663,OR2L2,11,23,14,0,0,0,10.274212931591089,8.773856829486987e-5,0.0069852085677670345,3.494943387018033e-4,0.6688884774829138,NS
ENSG00000165197,VEGFD,0,0,0,22,45,19,11.229394325792319,-8.831188297827219e-5,0.006985205287167785,5.218071445573171e-4,0.8877099100352313,NS
ENSG00000000419,DPM1,826,397,561,864,844,574,656.5102237191428,1.6302062949274135e-4,0.006982300972322626,0.4217737344893146,0.9996191237114795,NS
ENSG00000000457,SCYL3,1177,925,1089,1440,1801,1619,1296.2249570407787,-3.289025209733256e-5,0.0069781463738801995,0.9167522739123163,0.9996191237114795,NS
ENSG00000000460,FIRRM,1940,1216,1442,2393,2732,2220,1901.1334084855512,-2.6970472636210464e-4,0.006976235924488759,0.4465543354445106,0.9996191237114795,NS
ENSG00000000938,FGR,233,86,84,145,203,156,144.54186024715088,5.0237718273910077e-5,0.006984398329862984,0.6453857992466696,0.9996191237114795,NS
ENSG00000001036,FUCA2,50,71,63,88,180,138,92.15283351276835,-8.531594671359243e-5,0.006984639476578506,0.3561998388821737,0.9996191237114795,NS
ENSG00000001084,GCLC,953,520,636,1310,961,1129,879.8444484205721,-1.493319834002663e-4,0.00698182286926058,0.4947841380381373,0.9996191237114795,NS
ENSG00000001460,STPG1,177,115,114,122,117,275,151.45394032075166,4.482450522831087e-5,0.006984475754960243,0.6667672214707057,0.9996191237114795,NS
ENSG00000001461,NIPAL3,1334,623,583,1017,1370,1327,993.0519692558543,-6.066160731537752e-6,0.006982140805012109,0.9767732795288553,0.9996191237114795,NS
ENSG00000001497,LAS1L,937,736,1167,1489,1848,1178,1175.9943517338995,-8.329431383577232e-5,0.00698100538128559,0.73216794562568,0.9996191237114795,NS
ENSG00000001561,ENPP4,0,1,9,1,1,0,2.33687304158725,1.3615156297211741e-5,0.006985235664467034,0.36254178277175503,0.9996191237114795,NS
ENSG00000001617,SEMA3F,0,8,11,1,20,0,6.703525944800919,6.984708263379946e-6,0.006985217336064781,0.7497831350037326,0.9996191237114795,NS
ENSG00000001626,CFTR,17,11,8,2,4,20,10.763329632344574,2.3040668094059167e-5,0.006985171025267633,0.49242848103493353,0.9996191237114795,NS
ENSG00000001629,ANKIB1,4215,3380,3891,5149,6737,5678,4672.652985544426,-6.515098323656821e-5,0.00697183201043751,0.8801097350213036,0.9996191237114795,NS
ENSG00000001630,CYP51A1,58,23,30,42,20,56,37.85489282071427,3.0107850269638007e-5,0.006984987479070613,0.6201728115396485,0.9996191237114795,NS
ENSG00000002016,RAD52,1416,1087,1313,1548,1935,1609,1451.5897759415134,3.979138534958767e-4,0.006977296250339717,0.23197717672230955,0.9996191237114795,NS
ENSG00000002549,LAP3,272,266,308,500,351,241,321.12957580395437,9.471018781212966e-5,0.00698377769331906,0.5091405671470903,0.9996191237114795,NS
ENSG00000002586,CD99,0,0,0,0,0,1,0.1415719042460924,-1.0846040821236214e-6,0.006985241433917475,0.9277290459139325,0.9996191237114795,NS
ENSG00000002587,HS3ST1,3,0,0,0,53,12,8.529174896948408,-3.8100914479726635e-5,0.006985217673976076,0.08040655669466898,0.9996191237114795,NS
ENSG00000002726,AOC1,0,25,0,0,0,0,6.046769875419144,3.358768181018731e-5,0.006985233175358532,0.03665363182383626,0.9996191237114795,NS
ENSG00000002745,WNT16,19,0,21,21,24,14,15.362232842445252,-1.6864611381317362e-6,0.006985161576990815,0.962085046317449,0.9996191237114795,NS
ENSG00000002746,HECW1,462,205,153,272,357,463,306.27301636879395,3.913467355853014e-5,0.006984021519122637,0.7652544627648514,0.9996191237114795,NS
ENSG00000002834,LASP1,920,700,455,879,1125,944,812.2028087340358,7.208715436225913e-5,0.00698216643157968,0.7282802804901141,0.9996191237114795,NS
ENSG00000002919,SNX11,196,193,172,358,460,224,253.05693116109668,-1.1103454003872903e-4,0.006983810670871271,0.4337641150707291,0.9996191237114795,NS
ENSG00000003056,M6PR,1306,828,1081,1402,1593,1035,1180.0042055522483,3.8389665923780345e-4,0.006979927754763007,0.15883931070391807,0.9996191237114795,NS
ENSG00000003096,KLHL13,854,598,738,783,1029,955,810.2181239271165,3.509004511002108e-4,0.006980242751205696,0.18428189140602844,0.9996191237114795,NS
ENSG00000003137,CYP26B1,20,24,30,45,6,38,27.878146458088473,1.395617719743786e-5,0.006985079263334939,0.7761197134021672,0.9996191237114795,NS
ENSG00000003147,ICA1,1059,709,625,886,1171,1203,915.6694732353347,1.447429225503661e-4,0.006981271190116139,0.5390614378982479,0.9996191237114795,NS
ENSG00000003249,DBNDD1,29,38,19,52,12,12,28.59326522294494,3.85060300251857e-5,0.006985074188366891,0.43933122957989346,0.9996191237114795,NS
ENSG00000003393,ALS2,904,571,665,954,979,1040,828.0151495762386,1.1822794128950262e-4,0.006980545451202353,0.6444610785053926,0.9996191237114795,NS
ENSG00000003400,CASP10,747,591,501,671,951,1197,750.9912736285969,-2.5780062894576568e-5,0.006982447849673525,0.8963109310665894,0.9996191237114795,NS
ENSG00000003402,CFLAR,3119,1797,1588,2529,3262,3512,2536.695801822937,5.844604073351568e-5,0.0069801596686833774,0.8263919404556412,0.9996191237114795,NS
ENSG00000003509,NDUFAF7,625,245,347,563,658,520,468.9463098168937,1.1461118362251255e-5,0.006982928591220644,0.9492522733058787,0.9996191237114795,NS
ENSG00000003756,RBM5,2044,1433,1782,2388,2848,2569,2102.942449730943,3.077023475949843e-5,0.006974973864446872,0.9351611789496992,0.9996191237114795,NS
ENSG00000003987,MTMR7,428,291,250,635,798,438,442.45486348128924,-2.3218185754281422e-4,0.006983004614991106,0.1898705538911752,0.9996191237114795,NS
ENSG00000003989,SLC7A2,728,527,1269,2176,2572,1357,1321.5638331749544,-4.6547021936944974e-4,0.006982843214307816,0.01112792235298702,0.9996191237114795,NS
ENSG00000004139,SARM1,101,14,37,45,54,22,44.0566481033502,6.069512544477127e-5,0.006984989687794928,0.3157136726312979,0.9996191237114795,NS
ENSG00000004142,POLDIP2,518,444,396,553,847,548,534.0059005907538,7.964089420100865e-5,0.0069822300903568885,0.6981374702013631,0.9996191237114795,NS
ENSG00000004399,PLXND1,1164,845,1287,1842,2812,1455,1470.3051656916582,-3.4737301398883054e-4,0.0069809660384873694,0.15539118768321786,0.9996191237114795,NS
ENSG00000004455,AK2,146,140,244,355,470,207,244.77988130529434,-1.1175130455554004e-4,0.006984092774936742,0.37970206469074164,0.9996191237114795,NS
ENSG00000004468,CD38,1000,799,892,1006,1623,1370,1076.6473335285484,4.326999083425405e-5,0.006980207252668536,0.8704061314388489,0.9996191237114795,NS
ENSG00000004487,KDM1A,0,0,0,12,12,10,4.577073182706424,-3.8813312874805094e-5,0.006985226351094903,0.03903912691644101,0.9996191237114795,NS
ENSG00000004534,RBM6,6083,3864,4830,6798,7817,7257,5887.116530265008,1.7149102602820118e-5,0.006969929455890964,0.9703512312018173,0.9996191237114795,NS
ENSG00000004660,CAMKK1,127,54,59,48,91,57,72.41121575325064,1.264725857002071e-4,0.006984732279226651,0.13758226941327312,0.9996191237114795,NS
ENSG00000004700,RECQL,715,538,510,993,1309,1050,802.8997724497494,-4.558056559073915e-4,0.006980516572849278,0.07611466583780653,0.9996191237114795,NS
ENSG00000004766,VPS50,2058,1274,1416,1865,2074,2242,1778.3530406673863,3.576594770633226e-4,0.006978346405255987,0.24893091874590922,0.9996191237114795,NS
ENSG00000004776,HSPB6,21,13,0,0,0,0,6.699233608724294,4.756048019234215e-5,0.006985226097700809,0.011858873032371901,0.9996191237114795,NS
ENSG00000004777,ARHGAP33,26,0,34,28,44,26,24.286564884699573,-6.545177363963527e-6,0.006985131976100684,0.8728316137670465,0.9996191237114795,NS
ENSG00000004779,NDUFAB1,717,462,486,577,1034,683,635.2416554637722,1.22507114775823e-4,0.006981974243566453,0.5667438350215315,0.9996191237114795,NS
ENSG00000004809,SLC22A16,15,6,24,21,48,11,19.185138308445683,-8.75498554685641e-6,0.006985110241999816,0.8438531283459264,0.9996191237114795,NS
